"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4127038094,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164235605","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias croceus","","SPECIES","Colias croceus (Geoffroy, 1785)","Colias croceus",NA,"IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.99397,12.52309,NA,NA,NA,NA,NA,NA,"2023-05-18T15:29:00",18,5,2023,5137612,5137612,"HUMAN_OBSERVATION","iNaturalist","Observations","164235605",NA,"Ricardo Rodero Henández","2023-05-28T16:43:49","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,NA,"2023-06-21 11:12:33","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.52309 37.99397)"
4075763020,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/151902994","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias croceus","","SPECIES","Colias croceus (Geoffroy, 1785)","Colias croceus",NA,"IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.98869,12.51898,1945,NA,NA,NA,NA,NA,"2018-02-04T14:16:00",4,2,2018,5137612,5137612,"HUMAN_OBSERVATION","iNaturalist","Observations","151902994",NA,"Enot Poluskuns","2023-03-22T05:55:38","CC_BY_NC_4_0","Enot Poluskuns","Enot Poluskuns",NA,NA,"2023-06-21 11:11:55","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.51898 37.98869)"
2843711488,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/136940572","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias croceus","","SPECIES","Colias croceus (Geoffroy, 1785)","Colias crocea",NA,"IT","Italy - Paceco (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",37.98633,12.51151,25,NA,NA,NA,NA,NA,"2017-04-18T00:00:00",18,4,2017,5137612,5137612,"HUMAN_OBSERVATION","","Observations","OBS.136940572",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 42518",NA,NA,"2023-06-13 15:56:41","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.51151 37.98633)"
2839899648,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/136940541","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias croceus","","SPECIES","Colias croceus (Geoffroy, 1785)","Colias crocea",NA,"IT","Italy - Paceco (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",37.98954,12.52711,25,NA,NA,NA,NA,NA,"2017-04-18T00:00:00",18,4,2017,5137612,5137612,"HUMAN_OBSERVATION","","Observations","OBS.136940541",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 42518",NA,NA,"2023-06-13 15:56:39","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.52711 37.98954)"
2833014512,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/136994053","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias croceus","","SPECIES","Colias croceus (Geoffroy, 1785)","Colias crocea",NA,"IT","Italy - Paceco (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",37.9921,12.52005,25,NA,NA,NA,NA,NA,"2017-04-19T00:00:00",19,4,2017,5137612,5137612,"HUMAN_OBSERVATION","","Observations","OBS.136994053",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 42518",NA,NA,"2023-06-13 15:56:35","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.52005 37.9921)"
2832957848,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/136994024","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias croceus","","SPECIES","Colias croceus (Geoffroy, 1785)","Colias crocea",NA,"IT","Italy - Trapani (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",37.99643,12.50854,25,NA,NA,NA,NA,NA,"2017-04-19T00:00:00",19,4,2017,5137612,5137612,"HUMAN_OBSERVATION","","Observations","OBS.136994024",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 42518",NA,NA,"2023-06-13 15:58:58","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.50854 37.99643)"
