specie,commonness_from_experts
Alcedo atthis,high
Anas crecca,high
Anas platyrhynchos,high
Ardea cinerea,high
Bubulcus ibis,high
Buteo buteo,high
Cettia cetti,high
Chroicocephalus ridibundus,high
Cisticola juncidis,high
Corvus cornix,high
Egretta garzetta,high
Falco tinnunculus,high
Gallinula chloropus,high
Hirundo rustica,high
Larus michahellis,high
Passer italiae,high
Phalacrocorax carbo,high
Pica pica,high
Picus viridis,high
Podiceps cristatus,high
Spatula clypeata,high
Streptopelia decaocto,high
Sturnus vulgaris,high
Turdus merula,high
Emberiza schoeniclus,high
Saxicola rubicola,high
Ischnura elegans,high
Muscicapa striata,high
Pimelia bipunctata,high
Remiz pendulinus,high
Cyprinus carpio,high
Macroglossum stellatarum,low
Papilio machaon,medium
Acrocephalus scirpaceus,medium
Corvus monedula,high
Motacilla flava,high
Passer montanus,high
Sterna hirundo,high
Troglodytes troglodytes,high
Acrocephalus melanopogon,high
Erythromma viridulum,medium
Halyomorpha halys,high
Lepomis gibbosus,medium
Locustella luscinioides,medium
Tarentola mauritanica,high
Trithemis annulata,medium
Acrocephalus schoenobaenus,high
Apis mellifera,medium
Crocothemis erythraea,high
Regulus ignicapilla,medium
Saxicola rubetra,high
Sympetrum fonscolombii,high
Acrocephalus arundinaceus,high
Melitaea didyma,medium
Orthetrum cancellatum,medium
Podarcis muralis,high
Spatula querquedula,medium
Sympetrum sanguineum,high
Curruca melanocephala,medium
Fulica atra,high
Galerida cristata,medium
Phasianus colchicus,high
Tachybaptus ruficollis,medium
Tringa nebularia,medium
Tringa totanus,medium
Dendrocopos major,high
Nycticorax nycticorax,medium
Pluvialis squatarola,low
Podiceps nigricollis,medium
Calandrella brachydactyla,low
Calidris temminckii,low
Columba oenas,low
Coracias garrulus,low
Falco columbarius,low
Falco vespertinus,low
Larus canus,low
Larus fuscus,low
Leptotes pirithous,low
Lycaena phlaeas,low
Ardeola ralloides,medium
Charadrius dubius,medium
Charadrius hiaticula,medium
Ichthyaetus melanocephalus,low
Milvus migrans,low
Pandion haliaetus,low
Tringa glareola,medium
Anacridium aegyptium,medium
Hieraaetus pennatus,low
Circaetus gallicus,low
Ptyonoprogne rupestris,medium
Botaurus stellaris,low
Gelochelidon nilotica,low
Grus grus,low
Jynx torquilla,low
Lanius collurio,medium
Oenanthe oenanthe,medium
Pernis apivorus,medium
Alauda arvensis,medium
Anthus spinoletta,medium
Falco peregrinus,medium
Haematopus ostralegus,low
Ixobrychus minutus,medium
Plegadis falcinellus,low
Actitis hypoleucos,medium
Aegithalos caudatus,high
Ardea alba,high
Ardea purpurea,high
Aythya ferina,medium
Circus aeruginosus,medium
Columba palumbus,high
Cyanistes caeruleus,high
Fringilla coelebs,high
Garrulus glandarius,high
Himantopus himantopus,medium
Mareca strepera,medium
Numenius arquata,medium
Parus major,high
Phylloscopus collybita,high
Recurvirostra avosetta,medium
Sylvia atricapilla,high
Tadorna tadorna,medium
Tringa erythropus,medium
Vanellus vanellus,medium
Falco subbuteo,medium
Motacilla cinerea,high
Oriolus oriolus,medium
Sitta europaea,medium
Spinus spinus,medium
Turdus philomelos,medium
Dama dama,medium
Fringilla montifringilla,medium
Gonepteryx rhamni,medium
Hydrocoloeus minutus,medium
Oryctes nasicornis,medium
Sympetrum striolatum,medium
Xylocopa violacea,medium
Anthus pratensis,medium
Calidris minuta,medium
Calidris pugnax,medium
Gallinago gallinago,medium
Luscinia megarhynchos,medium
Merops apiaster,medium
Netta rufina,medium
Phoenicurus ochruros,medium
Serinus serinus,medium
Streptopelia turtur,medium
Lasiommata megera,medium
Silurus glanis,medium
Tyto alba,medium
Procambarus clarkii,medium
Numenius phaeopus,medium
Pararge aegeria,medium
Phylloscopus trochilus,medium
Polyommatus icarus,medium
Riparia riparia,medium
Vanessa cardui,medium
Circus cyaneus,medium
Cuculus canorus,medium
Prunella modularis,medium
Threskiornis aethiopicus,medium
Tringa ochropus,medium
