"specie","reconstruction_log_probability","percentile","clusterunif"
"Calidris alpina",-4.26137352,"0p-25p","high"
"Sitta europaea",-2.89530921,"25p-50p","medium"
"Pimelia bipunctata",-2.621999741,"25p-50p","medium"
"Melitaea didyma",-2.742586374,"25p-50p","medium"
"Harmonia axyridis",-3.239582539,"25p-50p","medium"
"Micropterus salmoides",-2.70707202,"25p-50p","medium"
"Idaea aversata",-2.41448307,"25p-50p","medium"
"Lanius excubitor",-3.168045044,"25p-50p","medium"
"Myathropa florea",-2.477116823,"25p-50p","medium"
"Pimelia spec.",-2.626548767,"25p-50p","medium"
"Turdus pilaris",-3.158907413,"25p-50p","medium"
"Circus cyaneus",-2.915925026,"25p-50p","medium"
"Cuculus canorus",-3.126651287,"25p-50p","medium"
"Threskiornis aethiopicus",-3.326025248,"25p-50p","medium"
"Acrocephalus arundinaceus",-3.075894356,"25p-50p","medium"
"Grus grus",-2.455441236,"25p-50p","medium"
"Oenanthe oenanthe",-2.451678991,"25p-50p","medium"
"Plegadis falcinellus",-3.217956066,"25p-50p","medium"
"Riparia riparia",-2.52119565,"25p-50p","medium"
"Motacilla cinerea",-2.859151602,"25p-50p","medium"
"Upupa epops",-3.254008293,"25p-50p","medium"
"Saxicola rubetra",-2.503926754,"25p-50p","medium"
"Falco peregrinus",-2.62334156,"25p-50p","medium"
"Accipiter nisus",-3.294400215,"25p-50p","medium"
"Anthus spinoletta",-2.697355747,"25p-50p","medium"
"Tringa ochropus",-2.755511284,"25p-50p","medium"
"Podarcis muralis",-3.046077013,"25p-50p","medium"
"Spinus spinus",-2.999178171,"25p-50p","medium"
"Regulus ignicapilla",-2.417088985,"25p-50p","medium"
"Remiz pendulinus",-2.781946421,"25p-50p","medium"
"Alauda arvensis",-3.127455473,"25p-50p","medium"
"Spatula querquedula",-3.137620211,"25p-50p","medium"
"Sympetrum fonscolombii",-2.541756868,"25p-50p","medium"
"Ixobrychus minutus",-2.774178505,"25p-50p","medium"
"Lanius collurio",-2.40662694,"25p-50p","low"
"Muscicapa striata",-2.968609095,"25p-50p","medium"
"Apis mellifera",-2.485109806,"25p-50p","medium"
