specieex,experts,specieclu,clusterunif
Tringa totanus,low,Tringa totanus,high
Calandrella brachydactyla,low,Calandrella brachydactyla,low
Columba oenas,low,Columba oenas,low
Alauda arvensis,low,Alauda arvensis,medium
Anacridium aegyptium,low,Anacridium aegyptium,medium
Anthus spinoletta,low,Anthus spinoletta,medium
Botaurus stellaris,low,Botaurus stellaris,medium
Calidris temminckii,low,Calidris temminckii,medium
Charadrius dubius,low,Charadrius dubius,medium
Charadrius hiaticula,low,Charadrius hiaticula,medium
Circaetus gallicus,low,Circaetus gallicus,medium
Coracias garrulus,low,Coracias garrulus,medium
Falco columbarius,low,Falco columbarius,medium
Falco peregrinus,low,Falco peregrinus,medium
Falco vespertinus,low,Falco vespertinus,medium
Gelochelidon nilotica,low,Gelochelidon nilotica,medium
Grus grus,low,Grus grus,medium
Haematopus ostralegus,low,Haematopus ostralegus,medium
Hieraaetus pennatus,low,Hieraaetus pennatus,medium
Ichthyaetus melanocephalus,low,Ichthyaetus melanocephalus,medium
Ixobrychus minutus,low,Ixobrychus minutus,medium
Jynx torquilla,low,Jynx torquilla,medium
Lanius collurio,low,Lanius collurio,medium
Larus canus,low,Larus canus,medium
Larus fuscus,low,Larus fuscus,medium
Leptotes pirithous,low,Leptotes pirithous,medium
Lycaena phlaeas,low,Lycaena phlaeas,medium
Milvus migrans,low,Milvus migrans,medium
Oenanthe oenanthe,low,Oenanthe oenanthe,medium
Pandion haliaetus,low,Pandion haliaetus,medium
Pernis apivorus,low,Pernis apivorus,medium
Plegadis falcinellus,low,Plegadis falcinellus,medium
Ptyonoprogne rupestris,low,Ptyonoprogne rupestris,medium
Tringa glareola,low,Tringa glareola,medium
Actitis hypoleucos,medium,Actitis hypoleucos,high
Aegithalos caudatus,medium,Aegithalos caudatus,high
Ardea alba,medium,Ardea alba,high
Ardea purpurea,medium,Ardea purpurea,high
Aythya ferina,medium,Aythya ferina,high
Circus aeruginosus,medium,Circus aeruginosus,high
Columba palumbus,medium,Columba palumbus,high
Cyanistes caeruleus,medium,Cyanistes caeruleus,high
Fringilla coelebs,medium,Fringilla coelebs,high
Gallinago gallinago,medium,Gallinago gallinago,high
Garrulus glandarius,medium,Garrulus glandarius,high
Himantopus himantopus,medium,Himantopus himantopus,high
Luscinia megarhynchos,medium,Luscinia megarhynchos,high
Mareca strepera,medium,Mareca strepera,high
Merops apiaster,medium,Merops apiaster,high
Numenius arquata,medium,Numenius arquata,high
Parus major,medium,Parus major,high
Phoenicurus ochruros,medium,Phoenicurus ochruros,high
Phylloscopus collybita,medium,Phylloscopus collybita,high
Recurvirostra avosetta,medium,Recurvirostra avosetta,high
Serinus serinus,medium,Serinus serinus,high
Streptopelia turtur,medium,Streptopelia turtur,high
Sylvia atricapilla,medium,Sylvia atricapilla,high
Tadorna tadorna,medium,Tadorna tadorna,high
Tringa erythropus,medium,Tringa erythropus,high
Vanellus vanellus,medium,Vanellus vanellus,high
Gonepteryx rhamni,medium,Gonepteryx rhamni,low
Oryctes nasicornis,medium,Oryctes nasicornis,low
Silurus glanis,medium,Silurus glanis,low
Tyto alba,medium,Tyto alba,low
Xylocopa violacea,medium,Xylocopa violacea,low
