specie,A,Aloc,IntraDO,InterDO,E,TR,TRMO
Cyanistes caeruleus,1.58E-06,3.00E-06,6.526315789,0.526315789,0.008881187,0.396666667,0.053333333
Phoenicurus ochruros,7.53E-07,1.34E-06,3.842105263,0.561403509,0.004181276,0.3,0.028125
Serinus serinus,8.16E-07,1.72E-06,4.140350877,0.473684211,0.005805092,0.351851852,0.022222222
Podiceps cristatus,2.74E-06,4.22E-06,15.12280702,0.649122807,0.014053495,0.537837838,0.132432432
Threskiornis aethiopicus,3.88E-07,1.30E-06,2.385964912,0.298245614,0.005660828,0.288235294,0.029411765
Aegithalos caudatus,1.76E-06,3.45E-06,6.736842105,0.50877193,0.009940662,0.437931034,0.072413793
Tachybaptus ruficollis,2.63E-06,3.95E-06,11.40350877,0.666666667,0.012630468,0.476315789,0.105263158
Picus viridis,1.14E-06,2.60E-06,5.403508772,0.438596491,0.006698199,0.356,0.076
Parus major,1.94E-06,3.16E-06,9.228070175,0.614035088,0.007636897,0.405714286,0.094285714
Acrocephalus arundinaceus,3.73E-07,1.12E-06,1.842105263,0.333333333,0.00503177,0.305263158,0.010526316
Passer montanus,8.17E-07,1.66E-06,4.01754386,0.49122807,0.004797026,0.303571429,0.032142857
Emberiza schoeniclus,8.72E-07,1.99E-06,3.947368421,0.438596491,0.006658811,0.368,0.036
Streptopelia turtur,5.96E-07,1.17E-06,3.614035088,0.50877193,0.0049782,0.296551724,0.027586207
Trithemis annulata,1.10E-07,7.85E-07,0.421052632,0.140350877,0.006342601,0.175,0
Acrocephalus melanopogon,1.48E-07,8.41E-07,0.543859649,0.175438596,0.003049769,0.22,0
Himantopus himantopus,1.62E-06,2.64E-06,13.75438596,0.614035088,0.010269046,0.465714286,0.125714286
Motacilla flava,6.51E-07,1.55E-06,3.245614035,0.421052632,0.004850844,0.304166667,0.041666667
Chloris chloris,7.98E-07,1.42E-06,3.614035088,0.561403509,0.003542885,0.303125,0.0125
Corvus monedula,7.52E-07,1.43E-06,3.614035088,0.526315789,0.004462903,0.28,0.033333333
Podarcis siculus,1.02E-06,2.53E-06,4.175438596,0.403508772,0.009569706,0.247826087,0.034782609
Crocothemis erythraea,1.45E-07,5.17E-07,0.789473684,0.280701754,0.003647913,0.18125,0.00625
Orthetrum cancellatum,9.23E-07,3.76E-06,3.49122807,0.245614035,0.01305645,0.221428571,0.028571429
Grus grus,1.02E-07,4.13E-07,1.01754386,0.245614035,0.003136914,0.228571429,0.021428571
Oenanthe oenanthe,1.58E-07,5.01E-07,1.140350877,0.315789474,0.002841437,0.205555556,0.005555556
Plegadis falcinellus,3.73E-07,1.12E-06,2.403508772,0.333333333,0.004134064,0.263157895,0.031578947
Galerida cristata,8.17E-07,3.10E-06,3.50877193,0.263157895,0.007086033,0.346666667,0.093333333
Pandion haliaetus,5.20E-07,1.19E-06,3.912280702,0.438596491,0.005450679,0.312,0.036
Riparia riparia,2.16E-07,6.48E-07,1.315789474,0.333333333,0.0029615,0.226315789,0.010526316
Garrulus glandarius,1.38E-06,2.53E-06,6.263157895,0.543859649,0.006950402,0.361290323,0.058064516
Anthus pratensis,6.59E-07,1.30E-06,3.263157895,0.50877193,0.003852832,0.3,0.013793103
Hieraaetus pennatus,8.07E-08,4.60E-07,0.50877193,0.175438596,0.004087673,0.22,0
Ischnura elegans,1.02E-06,5.28E-06,3.789473684,0.192982456,0.019019283,0.290909091,0.054545455
Motacilla cinerea,3.42E-07,8.11E-07,1.543859649,0.421052632,0.004655029,0.241666667,0.008333333
Upupa epops,3.87E-07,1.00E-06,2.754385965,0.385964912,0.004109849,0.318181818,0.022727273
Coracias garrulus,4.04E-08,3.29E-07,0.368421053,0.122807018,0.002251682,0.2,0
Saxicola rubetra,1.79E-07,5.10E-07,1.368421053,0.350877193,0.003173246,0.205,0.01
Troglodytes troglodytes,9.54E-07,2.01E-06,3.736842105,0.473684211,0.006400533,0.314814815,0.025925926
Tarentola mauritanica,3.92E-08,4.47E-07,0.456140351,0.087719298,0.003804616,0.28,0
Tringa glareola,4.47E-07,9.11E-07,3.684210526,0.49122807,0.004304245,0.289285714,0.021428571
Dendrocopos major,9.79E-07,2.54E-06,3.912280702,0.385964912,0.007001141,0.363636364,0.045454545
