cluster,a,aloc,intrado,interdo,e,tr,trmo,
0,M,M,H,M,H,M,M,mihigh
1,H,H,H,H,H,H,M,high
2,H,M,H,L,L,H,M,medium
3,H,L,M,L,M,M,M,milow
4,H,H,H,H,H,H,M,high
5,H,L,L,L,L,L,M,low
