specie,a,aloc,intrado,interdo,e,tr,trmo
Corvus cornix,3.898754819,2.987532929,3.234616694,2.484505433,1.834693966,1.760937944,2.872853095
Egretta garzetta,4.205643371,3.256169121,5.194807116,2.484505433,1.947265574,2.526166215,3.774289209
Ardea cinerea,5.636906088,4.762587078,5.216587009,2.319974911,3.746391527,2.696676787,4.186573943
Anas platyrhynchos,5.155621869,3.978385478,4.606749989,2.566770693,3.080897008,2.37683451,3.924528561
Circus aeruginosus,2.601372132,1.981830403,2.363420951,2.319974911,1.898678381,1.839985321,1.77575643
Pica pica,2.984766645,2.668991717,2.835318645,1.990913868,0.710666041,1.878665371,2.999978701
Falco tinnunculus,1.669042727,1.177042861,1.742693984,2.23770965,0.569794417,1.62492561,1.402653719
Ardea alba,2.815333396,2.588393862,3.122087244,1.908648607,2.283495962,2.569251283,3.094258457
Cettia cetti,2.084714845,1.831031972,1.742693984,1.908648607,0.315920123,1.55768882,1.61163327
Buteo buteo,1.482817948,1.391348703,1.227236503,1.661852825,1.173260896,1.216888609,1.155831926
Phalacrocorax carbo,5.079586445,4.375722008,4.795509067,2.23770965,3.474014073,2.502014492,4.139156207
Larus michahellis,3.648335537,3.451886957,4.040472756,1.908648607,1.773694502,2.590325501,3.746613539
Chroicocephalus ridibundus,2.905210574,2.99218822,3.437895701,1.661852825,2.097547126,2.521081642,3.216257329
Sturnus vulgaris,1.793389003,1.405469163,1.615644605,2.073179129,0.500383393,1.222608754,1.670938277
Passer italiae,1.654373685,1.658746212,1.539414978,1.579587564,0.533591413,1.898595287,1.737220344
Gallinula chloropus,2.483399871,2.162599186,1.982272814,1.990913868,1.578082857,1.858131517,1.613153911
Streptopelia decaocto,1.319420541,0.938717577,1.521265066,2.073179129,0.081120398,1.282670275,1.501919006
Hirundo rustica,1.90977879,1.348283611,1.920563115,2.319974911,0.680739415,1.355768406,1.513711048
Turdus merula,2.788266417,2.655005345,1.920563115,1.826383347,1.737787058,1.630594222,1.853661814
Ardea purpurea,0.710903262,0.711627692,0.443160335,1.332791782,1.246371997,1.236816856,-0.146473243
Fringilla coelebs,1.373787389,1.268639668,1.100187124,1.661852825,1.14429049,1.285530347,0.769502163
Erithacus rubecula,2.130517352,1.806179333,1.662834375,1.990913868,1.066952726,1.324251328,1.613153911
Fulica atra,4.001530902,3.579988809,3.459675594,2.073179129,2.48571901,2.584003236,3.248451476
Bubulcus ibis,1.334630568,0.90744916,1.074777248,2.15544439,0.606439195,0.813409121,0.846454027
Columba palumbus,2.28209097,1.886729913,2.298081271,2.073179129,0.995844302,1.38277281,2.00897682
Cisticola juncidis,0.891013176,0.635151582,1.347025918,1.826383347,0.267097073,1.046211854,1.244583358
Alcedo atthis,1.481889897,1.151049964,1.448665421,1.990913868,0.785479873,1.344785182,1.266447713
Merops apiaster,0.362506686,0.195513336,0.312480973,1.497322304,0.30959203,0.704502298,-0.03632709
Rallus aquaticus,0.982154185,1.194142655,0.570209714,1.16826126,0.177319304,1.152191798,0.42757812
Carduelis carduelis,1.244321561,1.122931647,1.067517284,1.661852825,0.656711225,1.331291507,0.769502163
Columba livia,1.191868176,0.955447835,1.118337035,1.826383347,-0.012730349,0.981280479,1.000951976
Delichon urbicum,0.489954855,0.309700544,0.214471452,1.579587564,-0.010456269,0.579597173,-0.317523739
