specie,A,Aloc,IntraDO,InterDO,E,TR,TRMO,cluster,distance,clusterunif
Zapornia parva,-0.507129414,-0.611595079,-0.530276693,-0.395001986,-0.239312334,-0.899690001,-0.58339642,5,0.216907224,low
Falco vespertinus,-0.549621602,-0.738329969,-0.497641075,-0.55942865,-0.895086324,-0.839675167,-0.302036126,5,0.225987325,low
Ruspolia nitidula,-0.574890732,-0.783713383,-0.562912311,-0.888281979,-0.818662835,-0.939699891,-0.58339642,5,0.2307965,low
Chlidonias leucopterus,-0.519742051,-0.686805249,-0.519398153,-0.312788654,-0.86493462,-0.776023069,-0.58339642,5,0.231037487,low
Pieris rapae,-0.500578795,-0.618154765,-0.446874558,-0.312788654,-0.425350406,-0.412296799,-0.378770752,5,0.232458646,low
Nomophila noctuella,-0.569137297,-0.77000386,-0.552033771,-0.806068647,-0.858259767,-0.979709781,-0.58339642,5,0.238494499,low
Sphingonotus personatus,-0.582130441,-0.768184222,-0.57016467,-1.052708643,-0.766391652,-0.739650442,-0.58339642,5,0.240920849,low
Podiceps grisegena,-0.578951063,-0.784322856,-0.56653849,-0.970495311,-0.820714321,-0.873016741,-0.58339642,5,0.24752114,low
Aiolopus strepens,-0.570311406,-0.670836876,-0.544781412,-0.970495311,-0.724531025,-0.339551545,-0.58339642,5,0.251370455,low
Hierophis viridiflavus,-0.543376854,-0.75443327,-0.533902872,-0.395001986,-0.720105925,-1.05972956,-0.58339642,5,0.264138045,low
Emberiza cirlus,-0.422817057,-0.33958096,-0.475883996,-0.312788654,-0.373967267,-0.485042053,-0.58339642,5,0.274445295,low
Oedipoda caerulescens,-0.543069562,-0.564556629,-0.533902872,-0.806068647,-0.183195232,-0.339551545,-0.58339642,5,0.277495974,low
Gambusia holbrooki,-0.532114127,-0.478213733,-0.537529052,-0.806068647,-0.081064689,-0.819670222,-0.58339642,5,0.287229089,low
Pieris brassicae,-0.564261027,-0.766625166,-0.559286131,-0.723855314,-0.761143868,-1.13974934,-0.58339642,5,0.292089323,low
Gulosus aristotelis,-0.530006707,-0.741769931,-0.490388715,-0.230575322,-0.852499891,-0.606284143,-0.58339642,5,0.292194782,low
Papilio machaon,-0.508821061,-0.647681873,-0.439622198,-0.312788654,-0.603016019,-0.266806291,-0.58339642,5,0.294499686,low
Milvus milvus,-0.502213587,-0.650500978,-0.439622198,-0.230575322,-0.554680769,-0.606284143,-0.208249361,5,0.300864135,low
Curruca cantillans,-0.431611682,-0.244242132,-0.494014895,-0.477215318,-0.281063959,-0.428462411,-0.58339642,5,0.315142699,low
Dorcus parallelipipedus,-0.581068793,-0.81214025,-0.56653849,-0.970495311,-0.914347718,-0.873016741,-0.58339642,5,0.316996227,low
Tyto alba,-0.577276364,-0.852106477,-0.548407592,-0.723855314,-1.048874104,-0.739650442,-0.58339642,5,0.317483965,low
Rhizostoma pulmo,-0.581120041,-0.81281342,-0.555659951,-0.970495311,-0.916613608,-0.873016741,-0.58339642,5,0.317891077,low
Chlidonias niger,-0.464399874,-0.526325722,-0.435996018,-0.230575322,-0.799661191,-0.472917844,-0.395822891,5,0.320105548,low
Lampides boeticus,-0.569559702,-0.773332951,-0.559286131,-0.806068647,-0.783722282,-1.13974934,-0.58339642,5,0.322909266,low
Locusta migratoria,-0.576739879,-0.801930447,-0.559286131,-0.888281979,-0.956198747,-0.939699891,-0.58339642,5,0.329422132,low
Leptotes pirithous,-0.476845958,-0.567197023,-0.475883996,-0.230575322,-0.179184246,-0.739650442,-0.58339642,5,0.329599745,low
Dolycoris baccarum,-0.569351898,-0.658233282,-0.56653849,-0.970495311,-0.467749278,-1.13974934,-0.58339642,5,0.331278287,low
Evarcha jucunda,-0.581681995,-0.759348384,-0.562912311,-1.052708643,-0.736650205,-0.339551545,-0.58339642,5,0.334582275,low
Lestes virens,-0.573973265,-0.718937129,-0.57016467,-0.970495311,-0.600625855,-1.13974934,-0.58339642,5,0.336161351,low
Agelena labyrinthica,-0.579562598,-0.792355658,-0.559286131,-0.970495311,-0.847752747,-0.339551545,-0.58339642,5,0.339044059,low
Lacerta bilineata,-0.500674663,-0.668250487,-0.508519614,-0.14836199,-0.637572579,-0.95508831,-0.58339642,5,0.345554473,low
Alopochen aegyptiaca,-0.584485893,-0.814594191,-0.56653849,-1.052708643,-0.922607686,-0.739650442,-0.58339642,5,0.348489168,low
Callophrys rubi,-0.579464233,-0.828769709,-0.555659951,-0.888281979,-0.970322502,-0.939699891,-0.58339642,5,0.351674395,low
Sympetrum striolatum,-0.485366798,-0.621848319,-0.497641075,-0.14836199,-0.403768134,-0.95508831,-0.58339642,5,0.358603155,low
Iphiclides podalirius,-0.47790907,-0.536942698,-0.472257816,-0.312788654,-0.066864183,-0.630532561,-0.58339642,5,0.365201131,low
