"specie","A","Aloc","IntraDO","InterDO","E","TR","TRMO","cluster","distance","clusterunif"
"Buteo buteo",1.476515971,1.385863254,1.224794321,1.660331315,1.172149616,1.215118457,1.152998539,1,0.650927866,"high"
"Calandrella brachydactyla",-0.559365943,-0.692993038,-0.559286131,-0.806068647,-0.513298,-0.979709781,-0.58339642,5,0.128124242,"low"
"Calidris minuta",0.105775465,0.673130634,0.165949825,0.180491338,0.477632806,1.496196338,0.740652024,6,2.305545139,"medium"
"Calidris pugnax",-0.060466873,-0.137876436,0.329127915,0.920411327,-0.18123049,0.522199927,0.368899961,6,1.177473834,"medium"
"Calidris temminckii",-0.526051965,-0.657748086,-0.515771974,-0.477215318,-0.846678319,-0.784105875,-0.58339642,5,0.133390823,"low"
"Cettia cetti",2.076623851,1.824411941,1.73971185,1.906971312,0.315113637,1.555653759,1.608252188,1,2.567281378,"high"
"Charadrius dubius",0.034868805,0.179072855,-0.018985344,0.591557999,-0.363688007,0.497018877,0.13279342,6,0.748385752,"medium"
"Charadrius hiaticula",-0.016383433,0.136277313,0.165949825,0.509344666,-0.193142629,0.841692819,0.274082572,6,0.810035059,"medium"
"Chroicocephalus ridibundus",2.894680823,2.982571879,3.433137808,1.660331315,2.096107252,2.518297723,3.210948121,2,2.55544042,"high"
"Circaetus gallicus",-0.43630726,-0.18016588,-0.417865119,-0.55942865,-0.041129757,0.360621526,-0.302036126,6,1.416159193,"medium"
"Circus aeruginosus",2.591745479,1.974821244,2.359788593,2.318037972,1.897309207,1.837730828,1.772178137,2,0.795191312,"high"
"Circus cyaneus",-0.274029931,-0.248079931,-0.261939389,0.26270467,-0.31840589,-0.028363513,-0.083200342,6,0.938743222,"medium"
"Cisticola juncidis",0.886470219,0.631617464,1.344458254,1.824757979,0.266307944,1.044574371,1.241643327,1,0.746206686,"high"
"Columba oenas",-0.565896495,-0.832207011,-0.541155232,-0.477215318,-1.002493602,-1.13974934,-0.58339642,5,0.500310869,"low"
"Columba palumbus",2.273413315,1.879966156,2.294517356,2.071397976,0.994796095,1.380873715,2.005118288,2,1.740241349,"high"
"Coracias garrulus",-0.544800849,-0.682111868,-0.504893434,-0.641641982,-0.752530167,-0.339551545,-0.58339642,5,0.160188788,"low"
"Corvus cornix",3.885271959,2.9779286,3.23007174,2.482464636,1.833347539,1.758744896,2.867956524,2,3.256547104,"high"
"Corvus monedula",0.267914832,0.186266944,0.165949825,1.249264655,-0.164736767,0.300606691,0.166897698,6,1.418758667,"medium"
"Crocothemis erythraea",-0.425072916,-0.533357886,-0.417865119,0.098278006,-0.381379656,-0.489588631,-0.442716273,5,0.664133488,"low"
"Cuculus canorus",-0.077218832,-0.132121362,-0.040742422,0.838197995,-0.151969895,0.236590868,-0.403325832,6,0.800693143,"medium"
"Curruca melanocephala",0.720528355,0.903845131,0.978214096,1.084837991,0.148453767,0.803588162,1.345931312,1,0.718334685,"high"
"Cyanistes caeruleus",1.21350378,1.428342831,0.767895669,1.249264655,1.009745031,1.234170786,0.617074169,1,0.749109397,"high"
"Cyprinus carpio",-0.551974405,-0.634738231,-0.548407592,-0.806068647,-0.43728413,-0.979709781,-0.58339642,5,0.13293901,"low"
"Dama dama",-0.568794157,-0.650907082,-0.504893434,-0.970495311,-0.52150638,-0.339551545,0.166897698,5,0.717563327,"low"
"Dendrocopos major",0.526994462,1.060568811,0.227594882,0.591557999,0.509985292,0.969863029,0.439731923,6,1.963671054,"medium"
"Egretta garzetta",4.191248347,3.245871589,5.188208821,2.482464636,1.945879126,2.523378344,3.768309466,4,1.607935957,"high"
"Emberiza schoeniclus",0.405231347,0.628344042,0.234847241,0.838197995,0.418986256,1.004780751,0.226921227,6,1.298890509,"medium"
"Erythromma viridulum",-0.578463145,-0.695926719,-0.57016467,-1.052708643,-0.923561866,-1.13974934,-0.58339642,5,0.527307013,"low"
"Falco columbarius",-0.550517707,-0.742744006,-0.537529052,-0.55942865,-0.801457951,-0.939699891,-0.58339642,5,0.15986809,"low"
"Falco peregrinus",-0.265457303,-0.266816329,-0.294575007,0.344918002,-0.499524868,-0.002626157,-0.58339642,6,1.509408096,"medium"
"Falco subbuteo",-0.258169998,-0.17050397,-0.261939389,0.180491338,0.14379989,0.366505333,-0.58339642,6,0.541279529,"medium"
"Falco tinnunculus",1.662187234,1.172110418,1.73971185,2.23582464,0.568897676,1.622838286,1.399523749,1,1.716774009,"high"
"Falco vespertinus",-0.549621602,-0.738329969,-0.497641075,-0.55942865,-0.895086324,-0.839675167,-0.302036126,5,0.225987325,"low"
"Fringilla coelebs",1.367809483,1.263470864,1.097878029,1.660331315,1.143189509,1.283706839,0.767132993,1,0.683177063,"high"
"Fringilla montifringilla",-0.512934649,-0.502721451,-0.526650513,-0.641641982,-0.289716851,-0.911121398,-0.58339642,5,0.139358205,"low"
"Fulica atra",3.987742562,3.568855676,3.454894886,2.071397976,2.484141136,2.581170407,3.243103583,4,1.774388754,"high"
"Galerida cristata",0.342391649,1.510079597,0.144192747,0.016064674,0.532551777,0.834071888,1.517427111,1,3.624911603,"high"
"Gallinago gallinago",0.519104478,0.469180817,0.184080724,1.331477987,-0.107560141,0.563897579,-0.220350879,6,1.858320758,"medium"
"Gallinula chloropus",2.474123867,2.155123561,1.979039716,1.989184644,1.576827657,1.855862919,1.609771002,2,0.928521903,"high"
"Garrulus glandarius",0.980371431,1.055531783,0.713502972,1.331477987,0.496497771,0.95109006,0.723567528,1,0.52926699,"high"
"Gelochelidon nilotica",-0.468051652,-0.657014847,-0.377977142,0.180491338,-0.739936086,-0.339551545,-0.58339642,5,0.868997331,"low"
"Gonepteryx rhamni",-0.559213013,-0.733471138,-0.548407592,-0.723855314,-0.652667605,-0.873016741,-0.58339642,5,0.071959053,"low"
"Grus grus",-0.474968524,-0.615439817,-0.370724782,-0.066148658,-0.517214971,-0.110923603,-0.101064487,5,0.880761327,"low"
"Haematopus ostralegus",-0.368197873,-0.503001825,-0.145901636,0.427131334,-0.533765462,-0.059482316,-0.133219949,6,1.629178688,"medium"
"Halyomorpha halys",-0.51001665,-0.410362366,-0.519398153,-0.723855314,0.438037317,-0.606284143,-0.58339642,5,1.034045896,"low"
"Hieraaetus pennatus",-0.498705087,-0.578397823,-0.475883996,-0.395001986,-0.264481379,-0.179511986,-0.58339642,5,0.400950606,"low"
"Himantopus himantopus",1.259705575,1.141756915,2.261881738,1.660331315,1.378669763,1.786688311,2.246284254,1,3.374505425,"high"
"Hirundo rustica",1.902207759,1.34290929,1.917394659,2.318037972,0.679803232,1.353890301,1.510447631,1,2.45395083,"high"
"Hydrocoloeus minutus",-0.549065856,-0.706121677,-0.515771974,-0.641641982,-0.794870532,-0.682493457,-0.58339642,5,0.069818699,"low"
"Ichthyaetus melanocephalus",-0.050506157,-0.015939435,0.078921511,0.673771331,-0.41652633,0.599811084,0.199519181,6,0.993073159,"medium"
"Ischnura elegans",0.572316337,3.225386851,0.202211623,-0.312788654,3.704684321,0.387900996,0.644357591,1,18.76107177,"high"
"Ixobrychus minutus",-0.294362201,-0.162733106,-0.338089164,0.016064674,0.260063572,-0.019472427,-0.433337597,6,0.626310047,"medium"
"Jynx torquilla",-0.3838616,-0.314159349,-0.417865119,-0.14836199,0.175291897,-0.216444192,-0.58339642,5,1.116854198,"low"
"Lanius collurio",-0.404928974,-0.453202498,-0.359846243,0.016064674,-0.42719426,-0.286205025,-0.433337597,5,0.691543873,"low"
"Larus canus",-0.521571867,-0.638132015,-0.508519614,-0.477215318,-0.64633699,-0.517373277,-0.58339642,5,0.067468079,"low"
"Larus fuscus",-0.471249315,-0.513084777,-0.475883996,-0.312788654,-0.748830997,-0.485042053,-0.58339642,5,0.208181663,"low"
"Larus michahellis",3.635596998,3.441084385,4.035083651,1.906971312,1.77236976,2.587487758,3.740667051,4,0.765170247,"high"
"Lasiommata megera",-0.421915804,-0.109276405,-0.468631636,-0.55942865,0.529834863,-0.339551545,-0.302036126,5,1.618341104,"low"
"Lepomis gibbosus",-0.576989476,-0.666890706,-0.57016467,-1.052708643,-0.425437506,-1.13974934,-0.58339642,5,0.400998865,"low"
"Leptotes pirithous",-0.476845958,-0.567197023,-0.475883996,-0.230575322,-0.179184246,-0.739650442,-0.58339642,5,0.329599745,"low"
"Locustella luscinioides",-0.439936258,-0.091777829,-0.490388715,-0.641641982,-0.389161817,0.003390367,-0.58339642,5,0.773155923,"low"
"Luscinia megarhynchos",0.204704821,0.177889432,0.220342522,1.084837991,0.318643938,0.803588162,-0.020675832,6,0.940775384,"medium"
"Lycaena phlaeas",-0.481301916,-0.581829803,-0.468631636,-0.230575322,-0.526369444,-0.672967293,-0.395822891,5,0.205347521,"low"
"Macroglossum stellatarum",-0.542594053,-0.62432218,-0.523024333,-0.723855314,-0.454461396,-0.472917844,-0.58339642,5,0.057925802,"low"
"Mareca strepera",1.135427587,1.403981711,0.825914545,1.167051323,0.730225663,1.757518539,0.580853074,1,0.858391386,"high"
"Melitaea didyma",-0.473894693,-0.019369818,-0.490388715,-0.806068647,1.187908773,-0.179511986,-0.133219949,6,2.547508187,"medium"
"Merops apiaster",0.359534607,0.193113685,0.310997016,1.495904651,0.308787793,0.703130431,-0.037727971,6,1.827197552,"medium"
"Milvus migrans",0.223379355,0.747041745,0.068042971,0.344918002,1.55453182,0.08160519,0.364343519,6,2.017452217,"medium"
"Motacilla cinerea",-0.200670637,-0.301080826,-0.261939389,0.755984663,-0.113665103,-0.006135797,-0.395822891,6,0.970044244,"medium"
"Motacilla flava",0.152379936,0.278604994,0.08980005,0.755984663,-0.061613105,0.493987825,0.354471227,6,0.695373977,"medium"
"Muscicapa striata",-0.136571399,-0.128011007,-0.174911074,0.591557999,-0.187803913,-0.084943155,-0.276457917,6,0.777990897,"medium"
"Netta rufina",0.342207568,0.993494094,0.097052409,0.344918002,1.762050217,0.250067883,0.719745996,6,3.339143523,"medium"
"Numenius arquata",0.371962402,0.63914496,0.927447579,0.755984663,0.202621261,1.327527195,2.136419759,1,2.107375838,"high"
"Numenius phaeopus",-0.395150554,-0.513242726,-0.359846243,0.26270467,-0.709845548,-0.206185246,-0.458347401,5,1.142549591,"low"
"Nycticorax nycticorax",0.432763277,0.449171851,0.289239938,1.167051323,1.006454863,0.791762579,0.192769909,6,1.771808787,"medium"
"Oenanthe oenanthe",-0.410202486,-0.546195104,-0.345341524,0.26270467,-0.595759606,-0.295096112,-0.458347401,5,1.039160821,"low"
"Oriolus oriolus",-0.11764021,-0.164750326,-0.214799052,0.755984663,-0.094350008,-0.139502096,-0.489609656,6,1.0039903,"medium"
"Orthetrum cancellatum",0.463001507,2.024706067,0.140566567,-0.066148658,2.119625843,-0.168080589,0.059712824,6,7.185894689,"medium"
"Oryctes nasicornis",-0.588005448,-0.883940722,-0.57379085,-1.052708643,-1.156028226,-1.13974934,-0.58339642,5,0.820819754,"low"
"Pandion haliaetus",0.13705706,0.161497077,0.445165668,0.920411327,0.25893879,0.768414633,0.542044757,6,1.226617112,"medium"
"Papilio machaon",-0.508821061,-0.647681873,-0.439622198,-0.312788654,-0.603016019,-0.266806291,-0.58339642,5,0.294499686,"low"
"Pararge aegeria",-0.40200632,-0.503920132,-0.421491299,0.180491338,-0.060864432,-0.48076292,-0.58339642,5,1.012298908,"low"
"Parus major",1.622219384,1.5499104,1.326327355,1.660331315,0.678984099,1.306569634,1.538864086,1,0.736606067,"high"
"Passer italiae",1.647561793,1.652570756,1.536645782,1.578117983,0.532707542,1.896295236,1.733688357,1,1.522063467,"high"
"Passer montanus",0.342771822,0.37220109,0.24935196,1.084837991,-0.075918997,0.489224743,0.140101479,6,1.198262857,"medium"
