specie,a,aloc,intrado,interdo,e,tr,trmo,clusterid,clusterunif
Saxicola rubetra,-0.3856945,-0.53844434,-0.29735604,0.42787391,-0.50704342,-0.29894978,-0.35729298,1,medium
Falco peregrinus,-0.26434842,-0.26560658,-0.29372606,0.34560865,-0.49900809,-0.001803311,-0.58265203,1,medium
Accipiter nisus,-0.040191405,-0.074852712,-0.11948691,0.8392002,-0.18424305,0.33369824,-0.40236479,1,medium
Anthus spinoletta,-0.276104,-0.28997833,-0.23927633,0.34560865,-0.54365838,0.040345125,-0.34543198,1,medium
Tringa ochropus,-0.30789253,-0.43586558,-0.28646609,0.59240443,-0.30594385,-0.011382501,-0.37778017,1,medium
Pararge aegeria,-0.40130451,-0.50332379,-0.42077544,0.18107814,-0.060191657,-0.48031202,-0.58265203,1,medium
Podarcis muralis,-0.21879289,0.10429102,-0.34091583,-0.065717652,1.4077754,-0.39619225,-0.26071054,1,medium
Spinus spinus,-0.15526801,0.12984557,-0.28646609,0.098812871,0.48868921,0.11147061,-0.44180262,1,medium
Regulus ignicapilla,-0.31845406,-0.31134984,-0.35180578,0.18107814,-0.19503827,-0.43320495,-0.45008788,1,medium
Remiz pendulinus,-0.1323489,-0.039468199,-0.24290632,0.42787391,-0.38309661,0.021378329,-0.46997249,1,medium
Alauda arvensis,-0.028828211,0.16442065,-0.18845658,0.42787391,-0.20184949,0.42178848,-0.46997249,1,medium
Spatula querquedula,-0.08764071,0.048586667,-0.1231169,0.42787391,-0.20160314,0.74211657,-0.35729298,1,medium
Sympetrum fonscolombii,-0.43313801,-0.57708561,-0.36995569,0.18107814,-0.51071012,-0.24477665,-0.45008788,1,medium
Ixobrychus minutus,-0.29333949,-0.16125408,-0.33728585,0.016547609,0.26085049,-0.018662686,-0.43241265,1,medium
Lanius collurio,-0.40423587,-0.45247495,-0.35906574,0.016547609,-0.42665178,-0.28560278,-0.43241265,1,medium
Muscicapa striata,-0.1350783,-0.12644215,-0.17393665,0.59240443,-0.18717629,-0.084184349,-0.27534425,1,medium
Apis mellifera,-0.38154271,-0.42722777,-0.39173558,0.098812871,0.12769492,-0.58924711,-0.44180262,1,medium
Falco subbuteo,-0.2570394,-0.16904505,-0.26105621,0.18107814,0.14454545,0.36761534,-0.58265203,1,medium
Numenius phaeopus,-0.39442831,-0.51267052,-0.35906574,0.26334339,-0.70940357,-0.20552075,-0.45745254,1,medium
Oriolus oriolus,-0.11609066,-0.16327652,-0.21386646,0.75693494,-0.093689144,-0.13878573,-0.48875242,1,medium
Vanessa cardui,-0.47904962,-0.64894056,-0.42440543,0.016547609,-0.4410587,-0.44576684,-0.28217331,1,medium
Charadrius alexandrinus,-0.2324362,-0.32865965,-0.11948691,0.67466968,-0.40344647,0.11364675,-0.09274108,1,medium
