specie,a,aloc,intrado,interdo,e,tr,trmo,prevalence
Threskiornis aethiopicus,-0.14645463,0.087192476,-0.086817078,0.18107814,0.1544484,0.36761534,0.080168664,0.5
Acrocephalus arundinaceus,-0.16291873,-0.055321805,-0.19934653,0.34560865,-0.01282916,0.50397789,-0.34543198,0.5
Crocothemis erythraea,-0.42443988,-0.53283769,-0.41714546,0.098812871,-0.38082087,-0.48914459,-0.44180262,0.5
Grus grus,-0.47448424,-0.61513197,-0.36995569,-0.065717652,-0.5167045,-0.110185,-0.099739805,0.5
Oenanthe oenanthe,-0.40952513,-0.54570812,-0.34454581,0.26334339,-0.59527707,-0.29450077,-0.45745254,0.5
Plegadis falcinellus,-0.1637412,-0.057026949,-0.083187096,0.34560865,-0.25154498,0.16679043,0.12900808,0.5
Riparia riparia,-0.34347242,-0.429647,-0.30824599,0.34560865,-0.5633502,-0.12824862,-0.34543198,0.5
Motacilla cinerea,-0.19936861,-0.29995972,-0.26105621,0.75693494,-0.11301111,-0.005315681,-0.39485282,0.5
Upupa epops,-0.14787754,-0.14935918,-0.010587448,0.59240443,-0.2579841,0.6074332,-0.070472397,0.5
Saxicola rubetra,-0.3856945,-0.53844434,-0.29735604,0.42787391,-0.50704342,-0.29894978,-0.35729298,0.5
Falco peregrinus,-0.26434842,-0.26560658,-0.29372606,0.34560865,-0.49900809,-0.001803311,-0.58265203,0.5
Accipiter nisus,-0.040191405,-0.074852712,-0.11948691,0.8392002,-0.18424305,0.33369824,-0.40236479,0.5
Anthus spinoletta,-0.276104,-0.28997833,-0.23927633,0.34560865,-0.54365838,0.040345125,-0.34543198,0.5
Tringa ochropus,-0.30789253,-0.43586558,-0.28646609,0.59240443,-0.30594385,-0.011382501,-0.37778017,0.5
Pararge aegeria,-0.40130451,-0.50332379,-0.42077544,0.18107814,-0.060191657,-0.48031202,-0.58265203,0.5
Podarcis muralis,-0.21879289,0.10429102,-0.34091583,-0.065717652,1.4077754,-0.39619225,-0.26071054,0.5
Spinus spinus,-0.15526801,0.12984557,-0.28646609,0.098812871,0.48868921,0.11147061,-0.44180262,0.5
Regulus ignicapilla,-0.31845406,-0.31134984,-0.35180578,0.18107814,-0.19503827,-0.43320495,-0.45008788,0.5
Remiz pendulinus,-0.1323489,-0.039468199,-0.24290632,0.42787391,-0.38309661,0.021378329,-0.46997249,0.5
Alauda arvensis,-0.028828211,0.16442065,-0.18845658,0.42787391,-0.20184949,0.42178848,-0.46997249,0.5
Spatula querquedula,-0.08764071,0.048586667,-0.1231169,0.42787391,-0.20160314,0.74211657,-0.35729298,0.5
Sympetrum fonscolombii,-0.43313801,-0.57708561,-0.36995569,0.18107814,-0.51071012,-0.24477665,-0.45008788,0.5
Ixobrychus minutus,-0.29333949,-0.16125408,-0.33728585,0.016547609,0.26085049,-0.018662686,-0.43241265,0.5
Lanius collurio,-0.40423587,-0.45247495,-0.35906574,0.016547609,-0.42665178,-0.28560278,-0.43241265,0.5
Muscicapa striata,-0.1350783,-0.12644215,-0.17393665,0.59240443,-0.18717629,-0.084184349,-0.27534425,0.5
