species,nr_occs,code
Apis mellifera,5,1341976
Bufo bufo,5,5217160
Falco subbuteo,5,2481035
Gonepteryx rhamni,5,1920712
Numenius phaeopus,5,2481784
Oriolus oriolus,5,2488949
Phoenicopterus roseus,5,4352332
Procambarus clarkii,5,2227300
Sympetrum striolatum,5,1428345
Tadorna tadorna,5,2498009
Theba pisana,5,2294277
Tringa erythropus,5,2481725
Vanessa cardui,5,4299368
Anacridium aegyptium,4,1702101
Anser anser,4,2498036
Calidris minuta,4,2481749
Cecropis daurica,4,9717283
Charadrius alexandrinus,4,2480311
Erythromma viridulum,4,1423011
Hydrocoloeus minutus,4,6065841
Jynx torquilla,4,8012314
Larus canus,4,7982160
Pernis apivorus,4,2480420
Phylloscopus trochilus,4,2493052
Polyommatus icarus,4,1933268
Sciurus vulgaris,4,8211070
Sus scrofa,4,7705930
Trachemys scripta,4,2443002
Turdus philomelos,4,7901064
Aeshna mixta,3,1425177
Aglais io,3,4535827
Anax parthenope,3,5051752
Apus melba,3,5228684
Calidris temminckii,3,2481740
Chlidonias niger,3,2481119
Cyprinus carpio,3,4286975
Gelochelidon nilotica,3,2481263
Haematopus ostralegus,3,7788295
Halyomorpha halys,3,4485843
Larus fuscus,3,2481174
Lepomis gibbosus,3,2394486
Leptotes pirithous,3,1932976
Lycaena phlaeas,3,1929697
Macroglossum stellatarum,3,1864652
Melitaea didyma,3,8393082
Milvus migrans,3,5229167
Monticola solitarius,3,2490955
Orthetrum coerulescens,3,1428583
Oryctes nasicornis,3,4995700
Oxythyrea funesta,3,1077130
Pluvialis squatarola,3,2480327
Prunella modularis,3,5231763
Thalasseus sandvicensis,3,2481240
Tyto alba,3,2497921
Acrocephalus schoenobaenus,2,2493129
Agrius convolvuli,2,1861644
Amata phegea,2,1808450
Ameles spallanzania,2,5048707
Anax ephippiger,2,5791733
Anthus trivialis,2,2490246
Argiope lobata,2,5170978
Asilus crabroniformis,2,1659278
Athene noctua,2,2497266
Bombylella atra,2,1670940
Botaurus stellaris,2,2480910
Calidris alba,2,2481748
Calidris ferruginea,2,2481741
Callophrys rubi,2,1932411
Celastrina argiolus,2,1925918
Cerambyx cerdo,2,5820507
Certhia brachydactyla,2,7806848
Chalcolestes parvidens,2,5865097
Clangula hyemalis,2,2498273
Cornu aspersum,2,5858758
Corvus corax,2,2482492
Cyrtaspis scutata,2,4423350
Emberiza cirlus,2,7626513
Falco naumanni,2,9584698
Gavia stellata,2,2481958
Graphosoma italicum,2,7437802
Harmonia axyridis,2,4989904
Hierophis viridiflavus,2,2458916
Hipparchia statilinus,2,8035998
Hippolais polyglotta,2,2493214
Hydriris ornatalis,2,1879471
Hyphantria cunea,2,1817797
Lanius senator,2,2492867
Linaria cannabina,2,8104397
Maniola jurtina,2,5135513
Mareca penelope,2,8000602
Menemerus semilimbatus,2,2169069
Micropterus salmoides,2,2394563
Nomophila noctuella,2,1881151
Oedipoda caerulescens,2,1700310
Otus scops,2,2497701
Pieris brassicae,2,1920506
Pieris rapae,2,1920496
Polistes dominula,2,5871389
Pontia edusa,2,1920259
Rana dalmatina,2,2426760
Ricania speculum,2,2057177
Satyrium ilicis,2,5882969
Scopula imitaria,2,8014296
Sphingonotus personatus,2,1699588
Steatoda grossa,2,2157245
Sylvia borin,2,2492942
Thomisus onustus,2,2166135
Tichodroma muraria,2,2484918
Tringa stagnatilis,2,2481719
Utetheisa pulchella,2,1803163
Vanessa atalanta,2,1898286
Vespa crabro,2,1311527
Vulpes vulpes,2,5219243
Acanthocardia tuberculata,1,2286550
Acherontia atropos,1,1861510
Acrida ungarica,1,1713668
Acrocephalus palustris,1,2493136
Acrometopa italica,1,1685600
Aedes albopictus,1,1651430
Agapornis roseicollis,1,9770031
Agelena labyrinthica,1,2139576
Aiolopus strepens,1,1713302
Alopochen aegyptiaca,1,2498252
Ameiurus,1,2340965
Anas acuta,1,2498112
Anser cygnoides,1,2498034
Anthus cervinus,1,2490283
Arachnocephalus vestitus,1,1724050
Araneus angulatus,1,7832895
Arctia villica,1,5115818
Argiope bruennichi,1,5170994
Asio flammeus,1,2497295
Aspitates ochrearia,1,1967265
Aythya nyroca,1,2498259
Bacillus rossius,1,1415862
Buteo rufinus,1,2480564
Cacyreus marshalli,1,1932752
Calidris alpina,1,2481759
Camponotus vagus,1,1313740
Canis lupus,1,5219173
Caretta caretta,1,8894817
Catarhoe rubidata,1,1964191
Cetonia aurata,1,1077829
Chalcolestes viridis,1,5865098
Chlidonias hybrida,1,2481121
Chlidonias leucopterus,1,2481120
Chloroclystis v-ata,1,1989428
Circus macrourus,1,2480491
Coccothraustes coccothraustes,1,2494329
Colias crocea,1,5137612
Colias croceus,1,5137612
Coreus marginatus,1,4388646
Coturnix coturnix,1,2474156
"Culex (Linnaeus,",1,1497010
Curruca cantillans,1,9317615
Curruca communis,1,10507373
Curruca curruca,1,11034996
Curruca subalpina,1,9478399
Dolycoris baccarum,1,4485824
Dorcus parallelipipedus,1,5743112
Ematurga atomaria,1,1956440
Emys orbicularis,1,8909809
Eobania vermiculata,1,2294275
Episyrphus balteatus,1,1536449
Ergates faber,1,8016249
"Erinaceus Linnaeus,",1,8216553
Eristalinus taeniops,1,1542714
Eupeodes corollae,1,1540742
Euplagia quadripunctaria,1,4532532
Eurydema ornata,1,4485906
Evarcha jucunda,1,2172885
Exochomus quadripustulatus,1,5877963
Gambusia holbrooki,1,2350570
Gavia arctica,1,2481959
Glareola pratincola,1,2480757
Glycaspis brimblecombei,1,2013501
Gulosus aristotelis,1,10943800
Habropoda tarsata,1,1345192
Helicoverpa armigera,1,8108800
Hippodamia variegata,1,1043082
Idaea aversata,1,5146559
Iphiclides podalirius,1,1938214
Lacerta bilineata,1,6159243
Lampides boeticus,1,1924713
Lanius excubitor,1,9444556
Lasiocampa quercus,1,1734826
Lestes virens,1,1424067
Limosa limosa,1,2481685
Lindenia tetraphylla,1,5051794
