species,nr_occs
Pyrgus malvoides,1
Pyrrhocorax graculus,1
Raja asterias,1
Regulus regulus,1
Rhinolophus hipposideros,1
Rhizostoma pulmo,1
Ruspolia nitidula,1
Saturnia pavoniella,1
Scarabaeus semipunctatus,1
Sceliphron caementarium,1
Sceliphron destillatorium,1
Sceliphron madraspatanum,1
Scolopax rusticola,1
Scutigera coleoptrata,1
Scytodes thoracica,1
Silurus glanis,1
Speleomantes,1
Speleomantes italicus,1
Steatoda nobilis,1
Sternula albifrons,1
Sympecma fusca,1
Tadorna ferruginea,1
Triodia sylvina,1
Tropidopola cylindrica,1
Turdus iliacus,1
Turdus pilaris,1
Vespa velutina,1
Xylocopa violacea,1
Zapornia parva,1
Zoropsis spinimana,1
